CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
4168b1e5475e   peer0.org1.example.com           1.28%     24.65MiB / 15.63GiB   0.15%     71.6kB / 32.9kB   0B / 180kB       14
0a8da407b1db   orderer0.example.com             0.08%     16.19MiB / 15.63GiB   0.10%     15.1kB / 24kB     0B / 123kB       13
7814296b38fa   ca.org1.example.com              0.00%     14.57MiB / 15.63GiB   0.09%     2.87kB / 5.93kB   0B / 446kB       9
8d5a9c9700ea   couchdb.peer0.org2.example.com   0.68%     43.53MiB / 15.63GiB   0.27%     23.8kB / 22kB     0B / 762kB       45
412d4e23e7ac   ca.org2.example.com              0.00%     12.46MiB / 15.63GiB   0.08%     3.33kB / 5.89kB   0B / 446kB       9
d39520ce6c9f   couchdb.peer0.org1.example.com   1.49%     43.38MiB / 15.63GiB   0.27%     24kB / 22.5kB     0B / 762kB       45
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
4037addaf964   condescending_cori               200.78%   109MiB / 15.63GiB     0.68%     766B / 0B         463kB / 46.1MB   31
724cc02aebba   youthful_mccarthy                190.31%   116.4MiB / 15.63GiB   0.73%     876B / 0B         487kB / 32.4MB   32
26c66163cb76   peer0.org2.example.com           1.37%     49.5MiB / 15.63GiB    0.31%     70.5kB / 32.8kB   0B / 180kB       14
4168b1e5475e   peer0.org1.example.com           1.49%     24.67MiB / 15.63GiB   0.15%     71.6kB / 32.9kB   0B / 180kB       14
0a8da407b1db   orderer0.example.com             0.08%     16.19MiB / 15.63GiB   0.10%     15.2kB / 24.2kB   0B / 123kB       13
7814296b38fa   ca.org1.example.com              0.00%     14.57MiB / 15.63GiB   0.09%     2.87kB / 5.93kB   0B / 446kB       9
8d5a9c9700ea   couchdb.peer0.org2.example.com   0.55%     43.65MiB / 15.63GiB   0.27%     23.8kB / 22kB     0B / 762kB       45
412d4e23e7ac   ca.org2.example.com              0.00%     12.46MiB / 15.63GiB   0.08%     3.33kB / 5.89kB   0B / 446kB       9
d39520ce6c9f   couchdb.peer0.org1.example.com   0.28%     43.38MiB / 15.63GiB   0.27%     24.1kB / 22.6kB   0B / 762kB       45
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
4037addaf964   condescending_cori               113.90%   234MiB / 15.63GiB     1.46%     766B / 0B         463kB / 48.4MB   18
724cc02aebba   youthful_mccarthy                119.77%   257.4MiB / 15.63GiB   1.61%     876B / 0B         614kB / 32.4MB   20
26c66163cb76   peer0.org2.example.com           1.72%     49.5MiB / 15.63GiB    0.31%     70.5kB / 32.8kB   0B / 180kB       14
4168b1e5475e   peer0.org1.example.com           1.71%     24.67MiB / 15.63GiB   0.15%     71.6kB / 32.9kB   0B / 180kB       14
0a8da407b1db   orderer0.example.com             0.09%     16.19MiB / 15.63GiB   0.10%     15.2kB / 24.2kB   0B / 123kB       13
7814296b38fa   ca.org1.example.com              0.00%     14.57MiB / 15.63GiB   0.09%     2.87kB / 5.93kB   0B / 446kB       9
8d5a9c9700ea   couchdb.peer0.org2.example.com   1.54%     43.68MiB / 15.63GiB   0.27%     23.8kB / 22kB     0B / 762kB       45
412d4e23e7ac   ca.org2.example.com              0.00%     12.46MiB / 15.63GiB   0.08%     3.33kB / 5.89kB   0B / 446kB       9
d39520ce6c9f   couchdb.peer0.org1.example.com   0.33%     43.38MiB / 15.63GiB   0.27%     24.1kB / 22.6kB   0B / 762kB       45
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
26c66163cb76   peer0.org2.example.com           16.24%    98.05MiB / 15.63GiB   0.61%     70.6kB / 32.9kB   0B / 180kB   14
